batch,batch_time_ms,forward_time_ms,backward_time_ms
110,132.02206045389175,49.58782345056534,72.98325002193451
111,131.4915046095848,49.61726814508438,72.70987331867218
112,132.12531805038452,49.55259710550308,73.1503814458847
113,131.37393444776535,49.58917945623398,72.70589470863342
114,131.87816739082336,49.594946205616,72.88587838411331
115,131.40153884887695,49.642160534858704,72.70144671201706
116,131.87965750694275,49.546144902706146,72.9719027876854
117,131.46983087062836,49.56015199422836,72.7505311369896
118,130.867101252079,49.44992810487747,72.60219752788544
119,132.31755048036575,49.53464865684509,73.94745945930481
120,130.92369586229324,49.53080415725708,72.5327655673027
121,145.87455242872238,52.00380086898804,74.27149266004562
122,131.76780939102173,49.5648980140686,72.90107011795044
123,131.35209679603577,49.57728832960129,72.726309299469
124,134.37270373106003,49.75183308124542,73.07056337594986
125,131.60229474306107,49.68656599521637,72.73887097835541
126,132.0742890238762,49.60580915212631,72.93172925710678
127,131.2866136431694,49.60636794567108,72.65676558017731
128,131.74563646316528,49.50976371765137,72.95650243759155
129,131.62043690681458,49.694836139678955,72.74708896875381
130,132.01402872800827,49.59072172641754,72.88587093353271
131,131.61487132310867,49.61523413658142,72.79594987630844
132,131.73311203718185,49.46873337030411,72.92289286851883
133,132.26159662008286,49.60664361715317,73.21101427078247
134,132.24785774946213,49.669697880744934,72.95896857976913
135,132.18986243009567,49.845583736896515,73.00034165382385
136,132.02793896198273,49.673765897750854,72.96476513147354
137,131.43695890903473,49.61168020963669,72.66955822706223
138,131.70728832483292,49.64372515678406,72.84922152757645
139,131.32555782794952,49.56161975860596,72.7120190858841
140,131.93463534116745,49.59657043218613,73.0002298951149
141,131.56496733427048,49.68596249818802,72.73596525192261
142,132.02442973852158,49.56056922674179,72.85597920417786
143,131.23225420713425,49.61876571178436,72.63366132974625
144,131.9192722439766,49.614302814006805,72.9171559214592
145,131.5145194530487,49.643926322460175,72.81534373760223
146,131.90685957670212,49.62453246116638,72.92401790618896
147,131.52161240577698,49.58338290452957,72.78314977884293
148,131.74337893724442,49.62656646966934,72.92336970567703
149,131.33679330348969,49.53952878713608,72.70579040050507
150,131.93097710609436,49.773335456848145,72.86776602268219
151,131.38946890830994,49.54282194375992,72.75322079658508
152,131.89692050218582,49.606919288635254,72.86198437213898
153,131.51640444993973,49.63969439268112,72.74338603019714
154,132.23451375961304,49.67499524354935,72.96748459339142
155,131.40910118818283,49.53330010175705,72.7543979883194
156,131.8005621433258,49.62843656539917,72.9079619050026
157,131.37611001729965,49.6109202504158,72.76265323162079
158,130.92076778411865,49.48021471500397,72.59581238031387
159,130.92917203903198,49.52798783779144,72.60417938232422
160,130.9354454278946,49.548253417015076,72.58228212594986
161,143.21303367614746,52.63999104499817,74.42548125982285
162,132.5303316116333,49.701787531375885,72.92961329221725
163,131.91286474466324,49.66112971305847,72.91585206985474
164,131.78543746471405,49.72900450229645,72.82620668411255
165,132.2716772556305,49.70009624958038,72.93882220983505
166,131.68590515851974,49.62002485990524,72.85338640213013
167,132.4535831809044,49.827829003334045,72.9106217622757
168,132.12169706821442,49.55534636974335,73.11158627271652
169,131.6772624850273,49.65087026357651,72.89610058069229
170,131.2473565340042,49.49985444545746,72.8224441409111
171,131.29054009914398,49.53800141811371,72.78452813625336
172,131.44337385892868,49.64616894721985,72.78809696435928
173,131.11431151628494,49.447983503341675,72.72004336118698
174,130.85034489631653,49.51498657464981,72.54022359848022
175,130.74418157339096,49.45991188287735,72.50727713108063
176,131.32525235414505,49.43552613258362,73.04847985506058
177,131.0328245162964,49.477919936180115,72.67054915428162
178,131.0948207974434,49.48502779006958,72.72693514823914
179,131.22043758630753,49.48776215314865,72.83459603786469
180,132.31105357408524,49.437567591667175,72.92596250772476
181,131.2679499387741,49.493491649627686,72.90319353342056
182,131.4980611205101,49.699656665325165,72.85958528518677
183,131.1759352684021,49.58566278219223,72.73820787668228
184,131.33694231510162,49.446284770965576,72.93274253606796
185,131.221204996109,49.46114122867584,72.90422916412354
186,131.0749128460884,49.35091733932495,72.71387428045273
187,131.04040920734406,49.448683857917786,72.69745320081711
188,131.09880685806274,49.477577209472656,72.75835424661636
189,131.16127997636795,49.507491290569305,72.73799926042557
190,131.13238662481308,49.467116594314575,72.73202389478683
191,132.45396316051483,49.71101135015488,73.16376268863678
192,131.29302859306335,49.566708505153656,72.75401055812836
193,131.6310614347458,49.761563539505005,72.8841945528984
194,131.29980117082596,49.49130117893219,72.91384786367416
195,131.2156468629837,49.53976720571518,72.83198833465576
